Dog Racing;course de chiens
harmonica;harmonica
harness;harnais
harness horse;cheval d'attelage
harp;harpe
harp seal;phoque du Groenland
harpoon;harpon
harpoon gun;pistolet à harpon
harpsichord (musical instrument);clavecin (instrument de musique)
harrow (cultivator);herse (cultivateur)
hasp (fastener);moraillon (attache)
hat;chapeau
hat shop;boutique de modiste
hatbox;boîte à chapeaux
hauberk;haubert
Hawaiian guitar;guitare hawaïenne
hawker (seller);colporteur (vendeur)
hay;foins
hay bale;balle de foin
hayrack;foin
head;tête
head covering;couvre-tête
head gasket;joint de culasse
head louse;pou de tête
head scarf;foulard
headboard;tête de lit
headdress;coiffure
header;entête
headlight (of vehicle);phare (de véhicule)
headrest;appui-tête
hearing aid;aide auditive
hearse;corbillard
heart-lung machine;machine à circulation extra-corporelle
hearth;foyer
hearthrug;coeur
heat exchanger;échangeur de chaleur
heat sink;dissipateur de chaleur
heater;chauffe-eau
heavyweight wrestler;lutteur poids lourd
hedge;haie
hedgehog;hérisson
helicon;hélicon
helicopter;hélicoptère
Heliport;héliport
helmet;casque
hem stitching;couture d'ourlet
hemline;ourlet
hemostat (surgical instrument);hémostatique (instrument chirurgical)
hen roost;poulailler
heptagon;heptagone
herb;herbe
herdsman;berger
Hereford cattle;bétail Hereford
heterodyne receiver;récepteur hétérodyne
hexagon;hexagone
high jump;grand saut
high-angle gun;canon à grand angle
high-definition television;télévision haute définition
highball glass;verre à whisky
Highway;autoroute
hill;colline
hillock;butte
hillside;flanc de coteau
hind deer;cerf
hinge;charnière
hip boot;botte de hanche
hip pocket;poche de hanche
hipflask;flasque
hippodrome stadium;stade hippodrome
hippopotamus;hippopotame
histiocyte;histiocyte
historian;historien
hockey puck;rondelle de hockey
hoe (garden tool);houe (outil)
hogshead;barrique
hoist (lifting device);appareil de levage
holder;étui
holding device;support
hole;trou
hole-in-the-wall;trou (mur)
Hollywood;Hollywood
holocephalan (fish);holocéphale (poisson)
holster;étui
home appliance;électroménager
Home Office;bureau à domicile
home plate;marbre (baseball)
home theater;home cinéma
homestead;propriété
hone (whetstone);pierre à aiguiser
honor guard;garde d'honneur
hood (head dress);capuche
hooded cloak;manteau à capuchon
hook;crochet
hoopskirt;jupe
hop (jumping of person/animal);saut
horizontal bar;barre horizontale
horizontal stabilizer;stabilisateur horizontal
horizontal tail;plan horizontal (avion)
horn;klaxon
hornist (musician);corniste (musicien)
horse;cheval
horse cart;char à cheval
horse racing;courses de chevaux
horse tick fly;mouche du cheval
Horse Track;hippodrome
horse wrangler;chevalier
horse-drawn vehicle;véhicule hippomobile
horsebox;box à chevaux
horsecar;tram à cheval
horsefly;taon
horseless carriage;voiture sans chevaux
horseman;cavalier
horseshoe;fer à cheval
horseshoe crab;limule
horseshoes;fers à cheval
hospital;hôpital
hospital bed;lit d'hôpital
hospital room;chambre d'hôpital
hospital ship;navire-hôpital
hospital ward;salle d'hôpital
hostel;hôtel
hot plate;plaque chauffante
hot spring;source chaude
hot-air balloon;montgolfière
hot-water bottle;bouillotte
hotel;hôtel
Hotel Building;bâtiment d'hôtel
hotel room;chambre d'hôtel
hotel setting;cadre de l'hôtel
hound dog;chien de chasse
hour hand;petite aiguille
hourglass;sablier
house;maison
house martin;hirondelle de fenêtre
house of cards;château de cartes
houseboat;péniche
housedog;chien domestique
housetop;maison
housing;logement
hovercraft;aéroglisseur
howdah (seat over horse/elephant);howdah (siège)
hula-hoop;cerceau
hulk;ponton
hull of ship;coque de navire
human;humain
hummingbird;colibri
Humvee;Humvee
hunt;chasse
hunting lodge;pavillon de chasse
hurdle;obstacle
hurling;hurling
hurricane deck;hurricane deck (bateau)
hut;cabane
hutch;clapier
hydrofoil;hydrofoil
hydrogen bomb;bombe à hydrogène
hygrometer (measuring instrument);hygromètre (instrument)
hypodermic needle;aiguille hypodermique
hypotenuse;hypoténuse
hysterosalpingogram (x-ray);hystérosalpingographie (rayons x)
ibex;ibex
ice;glace
Ice Cream Parlor;glacier
ice floe;banquise
ice hockey;hockey sur glace
ice hockey rink;patinoire de hockey sur glace
ice machine;machine à glace
ice maker;machine à glaçons
ice mass;masse de glace
ice pack;pack de glace
ice rink;patinoire
Ice Shelf;barrière de glace
ice skate;patin à glace
ice skating;patinage sur glace
ice tongs;pinces à glaçon
iceberg;iceberg
iconoscope (tv camera);iconoscope (caméra de télévision)
igloo;iglou
ignition coil;bobine d'allumage
ignition key;clé de contact
impeller;roue à aubes
imprint;empreinte
improvised explosive device;engin explosif improvisé
incendiary bomb;bombe incendiaire
incense tree;burséracée (arbre)
incinerator;incinérateur
inclined plane;plan incliné
incubator;incubateur
Indian buffalo;buffle indien
indian cattle;zébu
Indian elephant;éléphant indien
Indian pony;poney indien
Indian rhinoceros;rhinocéros indien
indicator;indicateur
indoor garden;jardin intérieur
Indoor Skating Rink;patinoire couverte
Indoor Volleyball;volleyball intérieur
indoors;intérieurs
industrial plant;installation industrielle
injector;injecteur
injured party;partie lésée
ink bottle;bouteille d'encre
inositol;inositol
insect;insecte
insectivore;insectivore
inside caliper;pied à coulisse
inspector general;inspecteur général
institution;institution
instrument;instrument
instrument of torture;instrument de torture
integrated circuit;circuit intégré
integrator;intégrateur
interceptor plane;avion intercepteur
intercontinental ballistic missile;missile balistique intercontinental
interior door;porte intérieure
internal-combustion engine;moteur à combustion interne
intersection;intersection
intravenous pyelogram;pyélogramme intraveineux
invertebrate;invertébré
iron collar;collier de fer
iron horse;cheval de fer
iron lung;poumon de fer
ironclad;cuirassé
ironmongery;quincaillerie
irrigation ditch;fossé d'irrigation
Islet;îlot
jabot (ruffle of dress);jabot (volant de robe)
jack (ball);jack (jeu)
jack (electrical);prise jack
jack (tool);cric (outil)
jack plane;varlope
jack-in-the-box (plaything);jack-in-the-box (jouet)
jackal;chacal
jai alai;jai alai
jalousie (shutter);jalousie (volet roulant)
Japanese black pine;pin noir du Japon
Japanese Garden;jardin japonais
jar;pot
jaunty car;carriole
javelin;javelot
Jeffrey pine;pin de Jeffrey
Jersey cattle;jersiaise (vache)
jet engine;moteur d'avion
jet plane;avion à réaction
Jet Ski;jet ski
Jet Skiing;jet ski
jewel casket;coffret à bijoux
jeweler's loupe;loupe de bijoutier
Jewelry Shop;bijouterie
jibboom (sail boat);jibboom (bateau à voile)
jig;gigue
jigsaw puzzle;puzzle
jockey (horse rider);jockey (cavalier)
jodhpur breeches;culottes jodhpur
joint;articulation
jointer plane;rabot de menuisier
jotter (notebook);bloc-notes
judge;juge
judge advocate;juge avocat
judo;judo
jug;cruche
juggler;jongleur
jukebox;juke-box
jumbojet;avion gros porteur
junction;jonction
jungle gym;aire de jeux
junkyard;dépotoir
jurist;juriste
jury box;jury
juvenile person;personne juvénile
kachina;kachina
Kachina dolls;poupées kachina
Kalashnikov rifle;Kalachnikov (arme)
Karl Popper;Karl Popper
kasbah (old quarters);kasbah
keg;tonnelet
kelpie dog;kelpie (chien)
kerchief (scarf);foulard
Kerry blue terrier dog;terrier Kerry Blue
ketch (sailing vessel);ketch (voilier)
kettle;bouilloire
key;clé
key (keyboard);touche (clavier)
keyboard;clavier
keyboard instrument;instrument à clavier
khadi (cloth);khadi (tissu)
khakis;khakis (uniforme)
khaki;kaki
Khedive (viceroy);khédive (vice-roi)
khimar (headscarf);khimar (foulard)
kid glove;gant d'enfant
killer whale;orque
kiln;four
Kinetoscope (old motion picture);kinétoscope
king;roi
kirtle dress;robe kirtle
kit of things;kit de choses
kitbag;musette
kitchen;cuisine
kitchen help;aide de cuisine
kitchen stove;cuisinière
kitchen table;table de cuisine
kitchen utensil;ustensile de cuisine
kiwi;kiwi
klystron device;klystron
kneeler;agenouilloir
knife;couteau
knob;bouton
knocker;heurtoir
knot;nœud
koala bear;koala
koto;koto
kremlin;kremlin
krill;krill
kudu antelope;antilope koudou
kylix drinking cup;kylix (vase)
laboratory coat;blouse de laboratoire
laborer;ouvrier
lace;dentelle
lacquerware;laque
ladder truck;camion échelle
ladder-back;échelle
lady in flapper dress;robe à clapet
lady palm;rhapis (palmier)
lager beer;bière blonde
Lake (Natural);lac
lake dwelling;habitation lacustre
lakefront;bord de lac
lakeside;rive de lac
lambrequin (decorative hanging of building);lambrequin
lambrequin (decorative hanginga of building);lambrequin
laminate;stratifié
lamination;laminage
lamp;lampe
lamp shell (marine animal);brachiopode
lamppost;lampadaire
lancelet (small organism);lancelet (animal marin)
lancet arch (gothic);arc de lancette (gothique)
lancet window (ornate);fenêtre lancette (ornée)
land dweller;habitant de la terre
Land Sailing;char à voile
landfill;décharge
landing craft;péniche de débarquement
Landing Deck;pont d'atterrissage
landing gear (of aeroplane);train d'atterrissage
landing net (fishing);épuisette
lantern;lanterne
lapel of coat;revers de manteau
laptop computer;ordinateur portable
larva;larve
laryngoscope (medical instrument);laryngoscope (instrument médical)
laser;laser
lasso;lasso
latch;loquet
lateen sail;voile latine
lathe;tour
latticework;treillis
laundry;blanchisserie
laundry cart;chariot à linge
lavaliere (jewelled pendent);lavallière
Lawn;pelouse
lawn chair;chaise de jardin
lawn furniture;meubles de jardin
leaf spring;ressort à lames
lean-to tent;tente
lector;lecteur
lecture room;salle de lecture
ledger;grand livre de compte
leech;sangsue
legionnaire (soldier);légionnaire (soldat)
Legislative Chamber;chambre législative
Leiden jar;bouteille de Leyde
Leishmania (organism);leishmania (organisme)
lens system;système de lentilles
leopard;léopard
leotard;collant
lever;levier
lever lock;levier de verrouillage
lever tumbler;serrure à gorge
Liberty ship;Liberty ship
library;bibliothèque
Library (Outdoor);ibliothèque (extérieure)
Liebig condenser;condenseur Liebig
lieutenant;lieutenant
lieutenant colonel;lieutenant colonel
lieutenant commander;lieutenant-commandant
lieutenant junior grade;sous-lieutenant
life preserver;gilet de sauvetage
life-support system;système de survie
lifeguard;sauveteur
lifting device;dispositif de levage
ligament (of body);ligament (corps)
light;lumière
light microscope;microscope optique
light source;source de lumière
light-emitting diode;diode électro-luminescente
lighter;plus léger
lighter-than-air craft;engin plus léger que l'air
Lightning;foudre
lightship;bateau-phare
limber (horse drawn vehicle);véhicule attelé tiré par un cheval
limiter (electronics);limiteur (électronique)
lines;lignes
lingerie;lingerie
Link trainer (flight simulation);Link trainer (simulation de vol)
linocut design;linogravure
Linotype machine;machine Linotype
Lippizan horse;Lippizan
liqueur;liqueur
liquid metal reactor;réacteur à métal liquide
liquor;alcool
liquor store;magasin d'alcool
lithosphere;lithosphère
little theater;petit théâtre
littoral (sands);littoral (sables)
live oak;chêne Quercus virginiana
livestock;bétail
living quarters;quartiers d'habitation
living room;salon
lizard;lézard
Loading Dock;quai de chargement
lobster pot;piège à homard
local public transport;transport en commun local
lock;cadenas
lock-gate;serrure
lockage;éclusage
locker;casier
locker room;vestiaire
locket;médaillon
locking pliers;pince de verrouillage
locomotive;locomotive
lodestone;magnétite
log cabin;cabane en rondins
loggia (roofed arcade of building);loggia
long johns;caleçon
long jump;long saut
long tom;long tom (canon)
long trousers;longs pantalons
long-horned beetle;coléoptère à longues cornes
longbow;arc
loom;métier à tisser
loop;boucle
lotion;lotion
loudspeaker;haut-parleur
lounge;salon
louse;pou
LP;LP
luff (sailboat);luff (voilier)
luge (racing sled);luge de course
luggage;bagage
luggage carrier;porte-bagages
lugsail (ship);voile au tiers
lugworm;ver de vase
Lumber Mill;scierie
lunar crater;cratère lunaire
lunchroom;salle à manger
lute (plucked instrument);luth (instrument à cordes pincées)
lutist (musician);luthiste (musicien)
luxury liner;paquebot de luxe
lyceum (public hall);salle publique
lynx;lynx
lyre (harp);lyre (harpe)
machicolation  (of castle);mâchicoulis
machine;machine
machine gun;mitraillette
machine screw;vis à métaux
machine tool;machine-outils
machinery;machinerie
mackerel;maquereau
macon;macon
macrame lace;dentelle macramé
magazine;magazine
magazine rack;porte-revues
magic lantern;lanterne magique
magician;magicien
magnet;aimant
magnetic compass;compas magnétique
magnetic needle;aiguille magnétique
magnetic recorder;enregistreur magnétique
magnetic tape;bande magnétique
magnifier;loupe
magnum (wine bottle);magnum (bouteille de vin)
magpie;pie
maguey;agave
mail train;train postal
mailbag;sac postal
maildrop;boîte aux lettres
mailer;poste
maillot tank suit;maillot de bains une pièce
main rotor;rotor principal
main-topmast (of sailing ship);mât principal (voilier)
mainframe computer;ordinateur central
mainmast (of sailing ship);mât principal (voilier)
majolica earthenware;faïence majolique
maker;maker
malamute dog;malamute (chien)
male donkey;âne mâle
male horse;cheval mâle
male person;personne de sexe masculin
mall;centre commercial
mammal;mammifère
man;homme
man and child;homme et enfant
man with headdress;homme avec coiffe
man with sandwich boards;homme avec des planches de sandwich
man with shaven head;homme avec la tête rasée
man-of-war (warship);homme de guerre (navire de guerre)
mangle;mutiler
manhole cover;plaque d'égout
manor hall;manoir
manor house;manoir
mans face;visage (homme)
mansard roof;toit mansardé
mansion house;maison de maître
mantelpiece;manteau de cheminée
mantilla (women's scarf);mantille (foulard)
mantilla (womens scarf);mantille (foulard)
Mao jacket;veste Mao
map;carte
maquiladora (assembly plant);maquiladora (usine)
marbleization;marbrisation
Marburg virus;virus Marburg
marcher;marcheur
marching order;ordre de marche
marimba (muscial instrument);marimba (instrument de musique)
marimba (musical instrument);marimba (instrument de musique)
marina;marina
marketplace;marché
marmot;marmotte
marquee (tent);chapiteau (tente)
marquetry (veneers);marqueterie (placages)
Marsh;marais
marshal;maréchal
martello tower (for defense);tour Martello (forteresse)
Martial Arts Gym;salle d'arts martiaux
masher;pilon
mask;masque
mason;maçon
Mason jar;bocal à conserves
mason wasp;guêpe maçonne
Masonite;Isorel
masonry;maçonnerie
mast (pole);mât
mast (sailing ship);mât (voilier)
master;maître
master of ceremonies;maître de cérémonie
masterpiece;chef-d'oeuvre
mat;tapis
matador (bull fighting);matador (corrida)
matchbook;pochette d'allumettes
materiel;matériel
maternity hospital;maternité
matrix;matrice
matting;tapis
mattress cover;protège-matelas
Mauser gun;pistolet Mauser
mausoleum;mausolée
Maxim gun;mitrailleuse Maxim
maypole;arbre de mai
maze;labyrinthe
meal;repas
meander;méandre
measuring instrument;instrument de mesure
measuring stick;tige de mesure
meat grinder;hachoir à viande
mecca;La Mecque
mechanical device;dispositif mécanique
mechanical press;presse mécanique
mechanism;mécanisme
medical building;bâtiment hospitalier
medical dressing;pansement médical
medical instrument;instrument médical
medical specialist;spécialiste médical
medicinal leech;sangsue médicinale
medicine chest;coffre à pharmacie
Mediterranean fruit fly;mouche méditerranéenne des fruits
medium;média
meeting;réunion
megalithic structure;structure mégalithique
megaphone;porte-voix
memorial;mémorial
memory cache;mémoire cache
memory device;dispositif mémoire
menu;menu
mercury thermometer;thermomètre à mercure
merino sheep;mouton mérinos
Merlot;merlot
Merostomata (hard shelled);Mérostomes (arthropode)
mess hall;salle à manger
mess kit;gamelle
messuage (dwelling);habitation
metal detector;détecteur de métaux
metalworker;ouvrier métallurgiste
meteorological balloon;ballon météorologique
meter;mètre
meterstick;mètre pliant
metropolitan;métropolitain (habitant)
mezzanine;mezzanine
microchip;puce électronique
microfiche;microfiche
microfossil;microfossile
micrometer;micromètre
microorganism;micro-organisme
microphone;microphone
microprocessor;microprocesseur
microscope;microscope
microspore (plant spores);microspore (plante)
microwave;four micro onde
middle-aged man;homme d'âge moyen
Middle-Eastern City;ville du Moyen-Orient
migratory locust;criquet migrateur
military attache;attaché militaire
military leader;chef militaire
military officer;officier militaire
military policeman;policier militaire
military quarters;quartiers militaires
military recruit;recrue militaire
military uniform;uniforme militaire
military vehicle;véhicule militaire
milk;lait
milk can;bidon de lait
milk float;flotteur de lait
milking machine;machine à traire
milldam;barrage
millstone;meule
millwheel;roue de moulin
mimeograph machine;miméographe
minaret (tower);minaret (tour)
mine detector;détecteur de mines
minelayer;mouilleur de mines
mineshaft;puit de mine
miniature fan palm;éventail miniature
ministry;ministère
miniver;menu-vair
mink;vison
mirror;miroir
missel thrush;grive draine
missile;missile
mite;mite
miter box;boîte à onglets
mixed drink;boisson mélangée
mixer (appliance);mélangeur (appareil)
mixer (media);table de mixage
mizzen (of sailing ship);artimon (voilier)
mizzenmast (of sailing ship);mât de misaine
mobile home;mobile home
Model T  car;voiture Ford modèle T
module (computer);module (ordinateur)
money belt;ceinture portefeuille
moneybag;sac d'argent
monitor;moniteur
monitor (computer);moniteur (ordinateur)
monitor lizard;varan
monkey;singe
monkey puzzle tree;araucaria du Chili
monkey-wrench;clé à molette
monk's cloth;onk's cloth (toile)
monoplane;monoplan
monstrance vessel;ostensoir
Montrachet;montrachet
mooring tower;mât d'amarrage
Moorish arch;arc maure
moquette fabric;tissu moquette
morion helmet;morion (casque)
morning dress;jaquette
morning room;petit salon
morris dancer (english dance);Morris dancer (danse)
mortar;mortier
mortarboard;mortier (chapeau)
morula (egg/organism);morula (embryon)
mosaic;mosaïque
Moselle;moselle
mosquito;moustique
mosquito net;moustiquaire
motel;motel
moth;papillon de nuit
mother;mère
motion-picture camera;caméra de cinéma
motion-picture film;film de cinéma
motley dress;robe bigarrée
motor;moteur
motor hotel;motel
motor scooter;scooter
motor torpedo (PT) boat;vedette-torpilleur
motorcycle;moto
motorcycle policeman;policier à moto
motorcyclist;motocycliste
motorized wheelchair;fauteuil roulant motorisé
mound;monticule
mountain;montagne
mountain bike;vélo de montagne
mountain range;chaîne de montagnes
mountain tent;tente de montagne
Mountains;montagnes
mountainside;flanc de montagne
Mountie (RCMP/Canadian soldier);police montée (Canada)
mouse;souris
mousetrap;piège à souris
mouth harp;guimbarde (instrument)
mouthpiece;embouchure
movement;mouvement
mover;déménageur
movie poster;affiche de film
movie projector;projecteur de cinéma
movie theater;cinéma
Movie Theater (Indoor);cinéma (intérieur)
moview poster;affiche de film
mud brick;brique de terre
mud dauber wasp;guêpe maçonne
Mud Wrestling;lutte dans la boue
muffler;silencieux
mufti dress;robe de mufti
mule;mule
mule deer;cerf mulet
multi panel pictures/art;images multi-panneaux
multiple portraits;portraits multiples
Muscadet;muscadet
Museum (Indoor);musée (intérieur)
Museum (Outdoor);musée (extérieur)
musher (person) with dog sled;conducteur de traîneau à chiens
music box;boîte à musique
music stand;pupitre
music stool;tabouret de musique
Music Studio;studio de musique
musical instrument;instrument de musique
musician;musicien
musician playing the organ;organiste
musicologist;musicologue
musket;mousquet
musket ball;balle de mousquet
mustachio;moustache
mustang;mustang
muzzle loader gun;arme à chargement par la bouche
Mycenaen artifacts (greek);artefacts mycéniens
myelogram  (x-ray);myélogramme (rayons x)
myxobacteria;myxobactéries
nail;clou
national monument;monument national
natterjack (toad);crapaud calamite
natural elevation;élévation naturelle
Natural History Museum;musée d'histoire naturelle
nature;nature
naval commander;commandant de marine
naval equipment;équipement naval
naval gun;canon naval
naval weaponry;armement naval
navigational instrument;instrument de navigation
neck brace;minerve
necktie;cravate
neckwear;cravate
needle;aiguille
needlepoint;point d'aiguille
needlework;travaux d'aiguille
negative;négatif
nematode worm;ver nématode
neolith;néolithique
neon lamp;lampe au néon
net;filet
neutrophil;neutrophile
new world dweller;habitant du Nouveau Monde
New World vulture;vautour du Nouveau Monde
newborn infant;nouveau-né
newel post in a house;départ d'escalier
news magazine;magazine d'information
news photography;photographie de presse
newspaper;journal
newsreader;lecteur de news
newsroom;rédaction
newsstand;kiosque à journaux
night latch;loquet de nuit
night lizard;Xantusiidae (lézard)
Night Sky;ciel de nuit
night-light;veilleuse
nightwear;vêtement de nuit
nine-banded armadillo;tatou commun
Nissen hut;cabane Nissen
nitrate bacterium;bactérie nitrifiante
no-parking zone;zone de stationnement interdit
Nobelist;Prix ​​Nobel
nombril;nombril
Norfolk jacket;veste Norfolk
noria water wheel;roue à eau noria
Norwegian elkhound dog;chien d'élan norvégien
nosewheel;roue de nez (avion)
notebook computer;ordinateur portable
nuclear reactor;réacteur nucléaire
nuclear submarine;sous-marin nucléaire
nun's habit;habits de religieuse
nurse;infirmière
nursery;garderie
nutgrass;noisette
nutrition;nutrition
O ring;joint torique
oak;chêne
oar;rame
oarlock;dame de nage
oast (kinl);séchoir (céréales)
oast house;séchoir (céréales)
obelisk;obélisque
oboe (musical instrument);hautbois (instrument de musique)
observation dome;dôme d'observation
observation tower;tour d'observation
observatory;observatoire
obtuse triangle;triangle obtus
ocean;océan
Ocean (waves);vagues (océan)
ocean floor;fond de l'océan
ocean liner;paquebot
octagon;octogone
octant;octant
odd-toed ungulate (hoofed mammal);ongulé à doigts irréguliers (mammifère à sabots)
oeil de boeuf (window);oeil de boeuf (fenêtre)
office;bureau
office building;immeuble de bureaux
officer's mess;mess des officiers
official;officiel
ogee arch;arc en accolade
ohmmeter;ohmmètre
oil lamp;lampe à huile
oil paint;peinture à l'huile
oil refinery;raffinerie de pétrole
oilcan;burette de graissage
oilfield;gisement de pétrole
oilseed;oléagineux
old man;homme agée
old woman;femme agée
Old World buffalo;buffle
older woman;femme âgée
olive;olive
olive drab;olive drab (couleur)
olive tree;olivier
onion dome;clocher à bulbe
onlooker;spectateur
oocyte;ovocyte
open-end wrench;clé plate
opener;ouvre-boîte
openwork;ajouré
operating microscope;microscope
operating room;salle d'opération
operating table;table d'opération
optical device;dispositif optique
optical telescope;télescope optique
orator;orateur
Orchard;verger
orchestra pit;fosse d'orchestre
orchestral bells;cloches d'orchestre
orchid;orchidée
orderly;personnel de service
ordinary bicycle;vélo
organ loft;tribune d'orgue
organ pipe;tuyau d'orgue
organist (musician);organiste (musicien)
oriel window;oriel (fenêtre)
Oriental beetle;scarabée oriental (coléoptère)
oriental rug;tapis oriental
orrerya (planaterium);machine d'Orrerya (planétarium)
orthochromatic film;film orthochromatique
orthopter (aeroplane);orthoptère (avion)
oscillograph;oscillographe
oscilloscope;oscilloscope
ossuary (burial);ossuaire
osteocyte;ostéocytes
osteopath (therapist);ostéopathe (thérapeute)
ostracoderm (extinct fish like creature);ostracoderme (poisson)
outbuilding;dépendance (bâtiment)
outdoor sport;sport de plein air
outerwear;vêtements d'extérieur
outfit;tenue
outhouse;appentis
outrigger canoe;pirogue
outside caliper (measuring instrument);pied à coulisse
outside mirror;rétroviseur extérieur
ouzo;ouzo
oven;four
oven thermometer;thermomètre de four
overgarment;survêtement
overhand knot;nœud simple
overmantel (mantel);trumeau
overpass;passerelle
ovoid;forme ovoïde
ox;boeuf
oxbow (river);cingle (rivière)
oxcart;charrette à boeufs
oyster shell;coquille d'huître
p-n-p transistor;transistor p-n-p
pacemaker horse;stimulateur cardiaque
pachycephalosaur (dinosaur);pachycéphalosaure (dinosaure)
pachyderm (thick skinned hoofed);pachyderme
Pacific bottlenose dolphin;grand dauphin de l'océan Indien
Pacific halibut;flétan du Pacifique
Pacific sturgeon;esturgeon du Pacifique
package;paquet
packaging;emballage
packet;paquet
packhorse;cheval de bât
packsaddle;selle
paddle steamer;bateau à aubes
paddlefish;spatule
paddlewheel;roue à aubes
paddy;paddy
padlock;cadenas
Pagoda;pagode
paint;peinture
paintball;paintball
paintbrush;pinceau
painter;peintre
painting;peinture
painting of people;peinture de personnes
pair of pincers;tenailles
pair of pliers;paire de pinces
pair of scissors;paire de ciseaux
pair of tongs;paire de pinces
paisley fabric;tissu cachemire
palace;palais
palanquin (closed litter);palanquin
paleontologist (fossil study);paléontologue (étude des fossiles)
palette knife;couteau à palette
palisade (fence);palissade (clôture)
pallasite meteorite;météorite pallasite
pallbearer;porteur (funéraille)
pallid bat;chauve-souris de Van Gelder
pallone (ball game);pallone (jeu de balle)
palm;paume
Panama hat;panama (chapeau)
panpipe;flûte de Pan
pantheon (greek temple);panthéon (temple grec)
pantile;culotte
pantograph (mechanical device);pantographe (dispositif mécanique)
pantry;office
panty;culotte
panzer (tank);panzer (tank)
paper;papier
paper bag;sac en papier
paper based (stamps/currency);support papier (timbres/monnaie)
paper clip;trombone
paper cup;gobelet en carton
paper fastener;attache parisienne
paper towel;essuie-tout
papyrus;papyrus
Para rubber tree;hévéa
parabolic reflector;réflecteur parabolique
parachute;parachute
Parade;parade
parallel;parallèle
parallel bars;barres parallèles
paramecium (organism);paramécie (organisme)
parapet (fortification);parapet (fortification)
parapet (low wall);parapet (muret)
pargeting (ornamental plasterwork);enduit décoratif (plâtre)
paring knife;couteau à éplucher
Park;parc
park bench;banc de parc
Parking Garage (Indoor);garage de stationnement (intérieur)
Parking Lot;parking
Parkour;parkour (sport)
parlor;parloir
parquet floor;parquet de sol
particle accelerator;accélérateur de particules
partition;cloison
parvis (courtyard);parvis (cour)
passageway;passage
passe-partout (frame);passe-partout (cadre)
passenger;passager
passenger car;voiture de voyageurs
passenger ship;navire à passagers
passenger train;train de voyageurs
passenger van;fourgonnette
passerine;passereaux
pasture;pâturage
patch;pièce
patchwork quilt;courtepointe
path near canal/river;chemin de canal/rivière
patient;patient
patio;patio
patriarch;patriarche
pave (jewelery);pavé (bijouterie)
pavilion;pavillon
paving machine;machine à paver
paving material;matériau de pavage
pavis shield;pavois (bouclier)
pawn (chess);pion (échecs)
pawnbroker's shop;prêteur sur gages
pay-phone;téléphone payant
pea jacket;caban
peacekeeper;casque bleu
peaked cap;casquette à visière
pecopteris (fossil ferns);pecopteris (fougères fossiles)
pedestal;piédestal
pedestrian crossing;passage piéton
pediment (of ornate building);fronton (bâtiment)
peeler;éplucheur
pegboard;panneau perforé
peludo (armadillo);grand tatou velu
pen;stylo
pen-and-ink;stylo et encre
penal institution;institution pénale
penalty box;banc de pénalité
pendant earring;boucle d'oreille
pendulum;pendule
penguin;manchot
penitentiary;pénitencier
pennant;fanion
pennywhistle;Tin whistle (instrument de musique)
pentagon;pentagone
pentode (electrical tube);pentode (tube électrique)
people;personnes
people in black/white image;personnes (image noir et blanc)
people in indian dress;personnes en costume indien
people in winter dress;personnes en vêtements d'hiver
people anarchist;anarchiste
percussion instrument;instrument à percussion
percussionist  (drum);percussionniste (batterie)
perforation;perforation
Performance;performance
performers;interprètes
perfume;parfum
perfumery;parfumerie
peristyle (of  building);péristyle (bâtiment)
Pernod;Pernod
person;personne
person hugging tree;personne embrassant un arbre
person in fancy dress;personne déguisée
person in headdress;personne en coiffe
person in health spa;personne dans un spa
person in native american dress;personne en costume amérindien
person in need;personne dans le besoin
person portrait photo;portrait de personne
person with Mohawk haircut;crête iroquoise (coupe de cheveux)
personal computer;ordinateur personnel
personnel carrier;transport de personnel
peshmerga (militia);peshmerga (milice)
pest;ravageur
pet shop;animalerie
petcock (regulator);robinet d'essence
petrel;pétrel
petticoat;jupon
Pharaoh;pharaon
pharmacist;pharmacien
Phillips screw;vis cruciforme
phonograph needle;aiguille de phonographe
phonograph recording disk;disque d'enregistrement de phonographe
photo with bars;photo de bars
photo with lines;photo avec lignes
photographic equipment;matériel photographique
photographic film;film photographique
photogravure (print);photogravure
photomicrograph (photograph);photomicrographie
physical pendulum;pendule physique
physicist;physicien
Physics Laboratory;laboratoire de physique
piaffe (equestrian sport) with horse and rider;piaffe (sport équestre)
piano;piano
piano accordion;accordéon-piano
piano action;mécanisme de répétition (piano)
pick (for string instrument);plectre (pour instrument à cordes)
pickaxe;pioche
pickelhaube (helmet);casque à pointe
pickerel frog;grenouille des marais
picket fence;palissade
picket ship;bateau-patrouilleur
picnic;pique-nique
picture frame;cadre
picture tube;tube cathodique
pier;jetée
pier (bridge support);jetée (support de pont)
pier arch;arc de quai
pier glass;glace de trumeau
pier table;console
pieta (statue);pieta (statue)
pigeon;pigeon
pigsty;porcherie
pilaster (of ornate building);pilastre
pile driver machine;mât de battage
pilgrim;pèlerin
pillion (of two wheeler);passager (deux-roues)
pillory (woodern instrument);pilori
pillow;oreiller
pillow lace;dentelle aux fuseaux
pillow sham;taie d'oreiller
pilot engine;locomotive pilote
pilot whale;globicéphale
pin;épingle
pin tumbler;cadenas à goupille
pince-nez (spectacles);pince-nez (lunettes)
pine tree;pin
pinetum (area with pine trees);pinetum (forêt de pins)
pinion (gear);pignon (engrenage)
Pinot blanc;pinot blanc
pins;épingles
